,Technique_name,Tags
0,Data Obfuscation,
1,Data Compressed,sensitive documents
2,Credential Dumping,"sam file,active directory,lateral movement,user logs,local system,account manipulation,domain controller,password hashes,lsa secrets"
3,Winlogon Helper DLL,"malicious code,registry keys"
4,Data from Local System,"local system,file system"
5,File System Logical Offsets,"file system data structures,direct access,logical volumes,file system,technique bypasses windows file access"
6,System Service Discovery,
7,Fallback Channels,
8,Binary Padding,"static signatures,security tools"
9,Application Window Discovery,"open application windows,small applescript script"
10,Exfiltration Over Other Network Medium,"internet connection,enterprise network,control channel,different network medium,radio frequency"
11,Query Registry,
12,Port Monitors,
13,Rootkit,"mac os x systems,system components,system firmware"
14,Accessibility Features,"appropriate key combination,login screen,system privileges,different ways,remote desktop protocol"
15,System Network Configuration Discovery,"network configuration,remote systems"
16,Application Deployment Software,"software deployment,enterprise administrators,specific domain credentials,remote code execution,direct access,administrative account"
17,Remote System Discovery,"remote access tools,lateral movement,ip mappings,remote systems"
18,System Firmware,"extensible firmware interface,system firmware"
19,Automated Exfiltration,"control channel,sensitive documents,alternative protocol,exfiltration techniques"
20,Remote Services,"remote connections,valid accounts"
21,Data Encrypted,"common file archive formats,control channel,exfiltration techniques,alternative protocol,encrypt files"
22,Shortcut Modification,"legitimate program,new shortcut,system startup process"
23,Custom Cryptographic Protocol,"control traffic,reverse engineering"
24,Data from Removable Media,"interactive command shells,common functionality,removable media"
25,Multiband Communication,inbound command
26,Obfuscated Files or Information,"evade defenses,user execution"
27,Windows Remote Management,"windows service,remote management,modify services,remote system,winrm command"
28,Scheduled Transfer,"certain intervals,control channel,normal activity,exfiltration techniques,alternative protocol"
29,Data Transfer Size Limits,
30,Modify Existing Service,windows api
31,Standard Cryptographic Protocol,"conceal command,reverse engineering,communication protocol,control traffic,encryption algorithm,necessary secret keys"
32,System Owner/User Discovery,different ways
33,Path Interception,"search order,privilege escalation,path environment,path interception,windows system"
34,Service Execution,"privilege escalation,new service"
35,Masquerading,"malicious binares,common use,legitimate programs,legitimate utility,binary names,file name,rtlo character"
36,Logon Scripts,"startup items,logon scripts,user logs,additional code,administrative functions,login hook"
37,DLL Search Order Hijacking,"windows systems,privilege level,privilege escalation,malicious dll,common method"
38,Data from Network Shared Drive,"interactive command shells,common functionality,remote systems"
39,Network Sniffing,"user credentials,access data,network interface,promiscuous mode,name service resolution,internal systems"
40,Exfiltration Over Command and Control Channel,"control channel,control communications"
41,Change Default File Association,"arbitrary program,file association"
42,Commonly Used Port,"pivot node,different protocol,open ports"
43,File System Permissions Weakness,"privilege escalation,account context,original process,installation process,permissions level,user account control"
44,Software Packing,"file signature,evade defenses"
45,Network Service Scanning,"port scans,vulnerability scans,remote software exploitation,remote hosts"
46,Windows Management Instrumentation,"remote execution,server message block,lateral movement,remote systems,remote access"
47,Exfiltration Over Alternative Protocol,"control server,different protocol,main command,control protocol"
48,System Network Connections Discovery,"net session,remote systems"
49,New Service,"administrator privileges,benign software,escalate privileges,new service,system privileges,service execution,service name"
50,Shared Webroot,"web server,malicious content,lateral movement,local system,specific page,web browser,remote execution"
51,Exfiltration Over Physical Medium,physical medium
52,Scheduled Task,"system privileges,remote execution,remote system,lateral movement"
53,Indicator Blocking,
54,Process Injection,"arbitrary code,evade detection,process injection"
55,Input Capture,"new access opportunities,network access,remote services,install code,different ways,valid accounts,vpn login page"
56,Process Discovery,"example command,common software,ps command,tasklist utility"
57,Service Registry Permissions Weakness,"registry keys,account context"
58,Command-Line Interface,"windows systems,process invocation"
